row,series,x,y
1,I,10,8.04
2,I,8,6.95
3,I,13,7.58
4,I,9,8.81
5,I,11,8.33
6,I,14,9.96
7,I,6,7.24
8,I,4,4.26
9,I,12,10.84
10,I,7,4.82
11,I,5,5.68
12,II,10,9.14
13,II,8,8.14
14,II,13,8.74
15,II,9,8.77
16,II,11,9.26
17,II,14,8.1
18,II,6,6.13
19,II,4,3.1
20,II,12,9.13
21,II,7,7.26
22,II,5,4.74
23,III,10,7.46
24,III,8,6.77
25,III,13,12.74
26,III,9,7.11
27,III,11,7.81
28,III,14,8.84
29,III,6,6.08
30,III,4,5.39
31,III,12,8.15
32,III,7,6.42
33,III,5,5.73
34,IV,8,6.58
35,IV,8,5.76
36,IV,8,7.71
37,IV,8,8.84
38,IV,8,8.47
39,IV,8,7.04
40,IV,8,5.25
41,IV,19,12.5
42,IV,8,5.56
43,IV,8,7.91
44,IV,8,6.89
