row,row_position,column_position,treatment,decrease
1,1,1,D,57
2,2,1,E,95
3,3,1,B,8
4,4,1,H,69
5,5,1,G,92
6,6,1,F,90
7,7,1,C,15
8,8,1,A,2
9,1,2,C,84
10,2,2,B,6
11,3,2,H,127
12,4,2,D,36
13,5,2,E,51
14,6,2,A,2
15,7,2,F,69
16,8,2,G,71
17,1,3,F,87
18,2,3,H,72
19,3,3,A,5
20,4,3,E,39
21,5,3,D,22
22,6,3,C,16
23,7,3,G,72
24,8,3,B,4
25,1,4,H,130
26,2,4,A,4
27,3,4,E,114
28,4,4,C,9
29,5,4,F,20
30,6,4,G,24
31,7,4,B,10
32,8,4,D,51
33,1,5,E,43
34,2,5,D,28
35,3,5,G,60
36,4,5,A,5
37,5,5,C,17
38,6,5,B,7
39,7,5,H,81
40,8,5,F,71
41,1,6,A,12
42,2,6,C,29
43,3,6,F,44
44,4,6,G,77
45,5,6,B,4
46,6,6,D,27
47,7,6,E,47
48,8,6,H,76
49,1,7,B,8
50,2,7,G,72
51,3,7,C,13
52,4,7,F,57
53,5,7,A,4
54,6,7,H,81
55,7,7,D,20
56,8,7,E,61
57,1,8,G,80
58,2,8,F,114
59,3,8,D,39
60,4,8,B,14
61,5,8,H,86
62,6,8,E,55
63,7,8,A,3
64,8,8,C,19
