row,supplement,dose,length
1,VC,0.5,4.2
2,VC,0.5,11.5
3,VC,0.5,7.3
4,VC,0.5,5.8
5,VC,0.5,6.4
6,VC,0.5,10
7,VC,0.5,11.2
8,VC,0.5,11.2
9,VC,0.5,5.2
10,VC,0.5,7
11,VC,1,16.5
12,VC,1,16.5
13,VC,1,15.2
14,VC,1,17.3
15,VC,1,22.5
16,VC,1,17.3
17,VC,1,13.6
18,VC,1,14.5
19,VC,1,18.8
20,VC,1,15.5
21,VC,2,23.6
22,VC,2,18.5
23,VC,2,33.9
24,VC,2,25.5
25,VC,2,26.4
26,VC,2,32.5
27,VC,2,26.7
28,VC,2,21.5
29,VC,2,23.3
30,VC,2,29.5
31,OJ,0.5,15.2
32,OJ,0.5,21.5
33,OJ,0.5,17.6
34,OJ,0.5,9.7
35,OJ,0.5,14.5
36,OJ,0.5,10
37,OJ,0.5,8.2
38,OJ,0.5,9.4
39,OJ,0.5,16.5
40,OJ,0.5,9.7
41,OJ,1,19.7
42,OJ,1,23.3
43,OJ,1,23.6
44,OJ,1,26.4
45,OJ,1,20
46,OJ,1,25.2
47,OJ,1,25.8
48,OJ,1,21.2
49,OJ,1,14.5
50,OJ,1,27.3
51,OJ,2,25.5
52,OJ,2,26.4
53,OJ,2,22.4
54,OJ,2,24.5
55,OJ,2,24.8
56,OJ,2,30.9
57,OJ,2,26.4
58,OJ,2,27.3
59,OJ,2,29.4
60,OJ,2,23
