row,department,gender,admitted,rejected,applications,admission_rate
1,A,Male,512,313,825,0.6206060606060606
2,A,Female,89,19,108,0.8240740740740741
3,B,Male,353,207,560,0.6303571428571428
4,B,Female,17,8,25,0.68
5,C,Male,120,205,325,0.36923076923076925
6,C,Female,202,391,593,0.3406408094435076
7,D,Male,138,279,417,0.33093525179856115
8,D,Female,131,244,375,0.34933333333333333
9,E,Male,53,138,191,0.2774869109947644
10,E,Female,94,299,393,0.23918575063613232
11,F,Male,22,351,373,0.058981233243967826
12,F,Female,24,317,341,0.07038123167155426
